武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親
佐竹,親直,63,61,55,46,48,124,94,273,-,さたけ,ちかなお,1566年,1581年,1615年,50,-,家名存続,突撃,速攻,全軍突撃,勲功,6,-
秋月,種長,44,39,57,53,55,83,108,248,秋月種実,あきづき,たねなが,1567年,1582年,1614年,48,-,所領拡大,足止め,回避,神出鬼没,家名,11,-
種子島,久時,29,50,54,56,55,79,111,244,種子島時堯,たねがしま,ひさとき,1568年,1583年,1611年,44,-,家名存続,死兵,斥候,全軍突撃,家名,6,-
赤座,吉家,50,38,44,41,40,88,81,213,-,あかざ,よしいえ,1563年,1578年,1606年,44,-,領地保全,臨戦,万全,囮挑発,勲功,11,-
足立,重信,48,38,62,86,74,86,160,308,-,あだち,しげのぶ,1563年,1578年,1625年,63,-,家名存続,激励,地利,囮挑発,勲功,6,-
石田,重家,59,30,47,64,55,89,119,255,石田三成,いしだ,しげいえ,1584年,1599年,1686年,103,-,所領拡大,気勢崩し,堅固,囮挑発,勲功,8,-
太田,一吉,48,44,44,46,42,92,88,224,-,おおた,かずよし,1566年,1581年,1617年,52,-,所領拡大,臨戦,万全,囮挑発,実利,8,-
大谷,吉治,52,52,58,57,57,104,114,276,大谷吉継,おおたに,よしはる,1580年,1595年,1615年,36,-,領地保全,急襲,復帰,囮挑発,仁義,5,-
大野,治房,56,63,46,51,46,119,97,262,大野佐渡守,おおの,はるふさ,1572年,1587年,1615年,44,-,家名存続,用心,斥候,神出鬼没,実利,6,-
大野,治胤,55,46,39,48,41,101,89,229,大野佐渡守,おおの,はるたね,1574年,1589年,1615年,42,-,所領拡大,臨戦,万全,囮挑発,実利,6,-
奥村,助右衛門,63,57,57,55,55,120,110,287,-,おくむら,すけえもん,1542年,1557年,1624年,83,-,領地保全,臥薪嘗胆,伏兵,神出鬼没,仁義,5,-
金森,可重,49,40,55,60,58,89,118,262,-,かなもり,よししげ,1558年,1573年,1615年,58,金森長近,領地保全,逆撫で,地利,囮挑発,家名,8,-
上泉,泰綱,59,68,35,29,27,127,56,218,上泉秀胤,かみいずみ,やすつな,1552年,1567年,1600年,49,-,家名存続,突撃,速攻,全軍突撃,芸道,5,-
郡,宗保,69,61,51,56,53,130,109,290,-,こおり,むねやす,1546年,1561年,1615年,70,-,所領拡大,急襲,復帰,囮挑発,勲功,5,-
小西,行景,57,53,56,59,57,110,116,282,小西隆佐,こにし,ゆきかげ,1569年,1584年,1600年,32,-,領地保全,最大戦速,水戦,川舟移動,実利,6,-
高橋,統増,53,71,55,55,54,124,109,288,高橋紹運,たかはし,むねます,1572年,1587年,1617年,46,-,領地保全,奥義一閃,野襲,全軍突撃,勲功,6,-
松平,家光,57,61,71,75,74,118,149,338,松平秀忠,まつだいら,いえみつ,1604年,1619年,1651年,48,-,領地保全,太鼓持ち,万全,囮挑発,家名,7,-
速水,守久,58,58,57,60,58,116,118,291,-,はやみ,もりひさ,1559年,1574年,1615年,57,-,所領拡大,叱咤,伏兵,神出鬼没,実利,5,-
福島,高晴,68,63,43,41,39,131,80,254,福島正信,ふくしま,たかはる,1573年,1588年,1633年,61,-,領地保全,用心,斥候,神出鬼没,家名,11,-
前田,利常,27,45,73,79,81,72,160,305,前田利家,まえだ,としつね,1593年,1608年,1658年,66,-,領地保全,逆撫で,地利,囮挑発,家名,6,-
水野,勝成,78,90,76,63,67,168,130,374,水野忠重,みずの,かつなり,1564年,1579年,1651年,88,-,家名存続,死兵,猛攻,全軍突撃,勲功,6,-
脇坂,安元,30,59,67,65,67,89,132,288,脇坂安治,わきさか,やすもと,1584年,1599年,1653年,70,-,所領拡大,叱咤,伏兵,神出鬼没,才覚,7,-
村井,長頼,58,61,55,55,54,119,109,283,-,むらい,ながより,1543年,1558年,1605年,63,-,領地保全,挟撃巧者,疾走,神出鬼没,勲功,6,-
由布,惟信,70,81,74,55,56,151,111,336,-,ゆふ,これのぶ,1527年,1542年,1612年,86,-,領地保全,奮闘,強撃,全軍突撃,仁義,5,-
小野,鎮幸,70,76,69,47,51,146,98,313,-,おの,しげゆき,1543年,1558年,1609年,67,-,家名存続,奮闘,猛攻,全軍突撃,勲功,5,-
飯田,覚兵衛,43,70,54,49,50,113,99,266,-,いいだ,かくべえ,1561年,1576年,1632年,72,-,所領拡大,死兵,地利,本陣斬込,才覚,7,-
柳生,宗章,35,70,39,51,42,105,93,237,柳生石舟斎,やぎゅう,むねあき,1566年,1581年,1603年,38,-,所領拡大,奥義一閃,野襲,全軍突撃,芸道,5,-
斯波,詮高,70,69,87,76,82,139,158,384,-,しば,あきたか,1476年,1491年,1549年,74,-,領地保全,叱咤,伏兵,神出鬼没,家名,9,-
赤池,長任,54,79,67,42,52,133,94,294,-,あかいけ,ながとう,1529年,1544年,1568年,40,-,家名存続,足止め,回避,神出鬼没,家名,7,-
和久,宗是,64,44,57,70,65,108,135,300,-,わく,そうぜ,1535年,1550年,1615年,81,-,所領拡大,気勢崩し,堅固,囮挑発,才覚,5,-
東郷,重位,35,80,38,32,29,115,61,214,-,とうごう,しげただ,1561年,1576年,1643年,83,-,家名存続,奥義一閃,野襲,全軍突撃,芸道,7,-
安井,道頓,56,47,48,80,62,103,142,293,-,やすい,どうとん,1533年,1548年,1615年,83,-,領地保全,激励,地利,囮挑発,勲功,5,-
山田,長政,43,61,49,42,42,104,84,237,-,やまだ,ながまさ,1590年,1605年,1630年,41,-,家名存続,最大戦速,水戦,川舟移動,才覚,7,-
天草,四郎,77,52,73,68,72,129,140,342,-,あまくさ,しろう,1621年,1636年,1638年,18,-,所領拡大,死兵,万全,囮挑発,家名,7,-
伊東,マンショ,70,25,71,64,69,95,133,299,-,いとう,まんしょ,1569年,1584年,1612年,44,-,家名存続,死兵,万全,囮挑発,実利,7,-
大浦,盛信,60,52,68,64,67,112,131,311,-,おおうら,もりのぶ,1479年,1494年,1551年,73,-,領地保全,急襲,復帰,囮挑発,家名,4,-
大浦,政信,43,63,45,38,37,106,75,226,-,おおうら,まさのぶ,1497年,1512年,1541年,45,-,家名存続,死兵,復帰,全軍突撃,実利,8,-
大浦,守信,64,41,53,56,54,105,110,268,大浦政信,おおうら,もりのぶ,1524年,1539年,1568年,45,-,所領拡大,臨戦,万全,囮挑発,家名,3,-
大浦,信建,49,34,60,47,52,83,99,242,大浦為信,おおうら,のぶたけ,1574年,1589年,1607年,34,-,領地保全,激励,伏兵,神出鬼没,実利,7,-
津軽,建広,61,34,46,41,40,95,81,222,-,つがる,たけひろ,1569年,1584年,1640年,72,-,領地保全,足止め,回避,神出鬼没,才覚,10,-
北畠,昌教,40,40,46,48,44,80,92,218,北畠具房,きたばたけ,まさのり,1577年,1592年,1616年,40,-,家名存続,急襲,復帰,囮挑発,芸道,6,-
浪岡,具永,47,47,61,63,63,94,126,281,-,なみおか,ともなが,1487年,1502年,1562年,76,-,所領拡大,臨戦,万全,囮挑発,家名,8,-
浪岡,具統,45,45,56,61,58,90,119,265,浪岡具永,なみおか,ともむね,1509年,1524年,1555年,47,-,領地保全,臨戦,万全,囮挑発,家名,7,-
和賀,義忠,53,45,49,52,49,98,101,248,和賀義勝,わが,よしただ,1541年,1556年,1591年,51,-,領地保全,突撃,速攻,全軍突撃,家名,12,-
和賀,忠親,64,48,29,27,24,112,51,192,和賀義忠,わが,ただちか,1576年,1590年,1601年,26,-,家名存続,突撃,速攻,全軍突撃,家名,3,-
亀ヶ森,光広,52,49,41,32,31,101,63,205,-,かめがもり,みつひろ,1503年,1518年,1562年,60,-,所領拡大,用心,斥候,神出鬼没,才覚,11,-
加藤,段蔵,49,80,85,31,57,129,88,302,-,かとう,だんぞう,1503年,1518年,1569年,67,-,領地保全,忍法雲隠,伏兵,神出鬼没,実利,10,-
下国,師季,72,46,44,47,42,118,89,251,-,しもくに,もろすえ,1514年,1529年,1563年,50,-,領地保全,用心,斥候,神出鬼没,家名,8,-
長門,広益,62,72,64,49,56,134,105,303,-,ながと,ひろます,1511年,1526年,1572年,62,-,家名存続,突撃,速攻,全軍突撃,勲功,5,-
川原,具信,60,61,43,68,56,121,124,288,浪岡具永,かわはら,とものぶ,1503年,1518年,1562年,60,-,所領拡大,用心,斥候,神出鬼没,実利,12,-
雫石,詮貞,42,55,66,54,60,97,114,277,斯波詮高,しずくいし,あきさだ,1503年,1518年,1557年,55,-,家督継承,足止め,回避,神出鬼没,家名,5,-
稗貫,晴家,30,37,56,61,59,67,120,243,-,ひえぬき,はるいえ,1489年,1504年,1564年,76,-,家名存続,気勢崩し,堅固,囮挑発,家名,5,-
和賀,義勝,57,58,47,61,53,115,114,276,-,わが,よしかつ,1507年,1522年,1575年,69,-,家名存続,急襲,復帰,囮挑発,家名,7,-
及川,頼家,42,45,40,50,43,87,93,220,-,おいかわ,よりいえ,1515年,1530年,1564年,50,-,所領拡大,気勢崩し,堅固,囮挑発,勲功,9,-
氏家,隆継,41,57,62,67,66,98,133,293,-,うじいえ,たかつぐ,1507年,1522年,1592年,86,-,家名存続,気勢崩し,堅固,囮挑発,家名,7,-
伊達,小次郎,29,60,62,33,44,89,77,228,伊達輝宗,だて,こじろう,1568年,1583年,1590年,23,-,領地保全,突撃,速攻,全軍突撃,家名,6,-
片倉,喜多,79,74,77,75,65,153,140,370,鬼庭左月斎,かたくら,きた,1539年,1550年,1610年,72,-,家名存続,激励,参謀,囮挑発,家名,4,-
萱場,元時,64,74,66,70,69,138,139,343,-,かやば,もととき,1557年,1572年,1627年,71,-,所領拡大,叱咤,殲滅,全軍突撃,勲功,4,-
亘理,元宗,77,63,75,69,80,140,149,364,伊達稙宗,わたり,もとむね,1530年,1545年,1594年,65,亘理宗隆,領地保全,挟撃巧者,疾走,神出鬼没,家名,5,-
草野,直清,54,61,36,42,35,115,77,228,-,くさの,なおきよ,1514年,1529年,1563年,50,-,領地保全,突撃,速攻,全軍突撃,家名,7,-
蘆名,盛舜,47,60,68,76,74,107,150,325,蘆名盛高,あしな,もりきよ,1490年,1505年,1553年,64,-,家名存続,用心,斥候,神出鬼没,家名,9,-
穴沢,俊光,72,79,67,53,59,151,112,330,-,あなざわ,としみつ,1531年,1546年,1585年,55,-,所領拡大,急襲,猛攻,全軍突撃,仁義,4,-
二本松,義国,54,55,48,57,52,109,109,266,新城村尚,にほんまつ,よしくに,1521年,1536年,1580年,60,-,家名存続,用心,斥候,神出鬼没,家名,7,-
二本松,義継,41,37,35,26,25,78,51,164,二本松義国,にほんまつ,よしつぐ,1552年,1567年,1585年,34,-,家名存続,臨戦,万全,囮挑発,家名,13,-
二階堂,輝行,49,32,39,53,43,81,96,216,二階堂晴行,にかいどう,てるゆき,1508年,1523年,1564年,57,-,所領拡大,臨戦,万全,囮挑発,実利,5,-
須田,盛秀,65,67,59,59,59,132,118,309,-,すだ,もりひで,1530年,1545年,1625年,96,-,所領拡大,急襲,復帰,囮挑発,勲功,5,-
留守,景宗,43,52,71,75,74,95,149,315,伊達尚宗,るす,かげむね,1492年,1506年,1554年,63,-,領地保全,気勢崩し,堅固,囮挑発,家名,5,-
懸田,俊宗,47,46,65,62,65,93,127,285,-,かけだ,としむね,1514年,1529年,1553年,40,-,領地保全,足止め,回避,神出鬼没,家名,9,-
安東,舜季,69,61,65,74,71,130,145,340,安東尋季,あんとう,きよすえ,1514年,1529年,1553年,40,-,家名存続,逆撫で,地利,囮挑発,実利,6,-
天童,頼長,71,77,67,55,60,148,115,330,天童頼道,てんどう,よりなが,1499年,1514年,1564年,66,-,所領拡大,早駆け,猛攻,本陣斬込,家名,6,-
天童,頼貞,68,67,79,65,73,135,138,352,天童頼道,てんどう,よりさだ,1533年,1548年,1583年,51,-,領地保全,挟撃巧者,疾走,神出鬼没,家名,6,-
鮭延,貞綱,69,63,70,62,67,132,129,331,-,さけのべ,さだつな,1516年,1531年,1568年,53,-,領地保全,挟撃巧者,地利,神出鬼没,才覚,9,-
谷柏,直家,67,65,66,60,64,132,124,322,-,やがしわ,なおいえ,1551年,1566年,1610年,60,-,家名存続,早駆け,猛攻,本陣斬込,仁義,5,-
成沢,道忠,61,57,73,63,69,118,132,323,-,なりさわ,みちただ,1548年,1563年,1617年,70,-,所領拡大,急襲,復帰,囮挑発,才覚,6,-
阿部,良輝,61,47,66,52,59,108,111,285,-,あべ,よしてる,1504年,1519年,1553年,50,-,所領拡大,用心,斥候,神出鬼没,家名,8,-
林崎,甚助,55,71,39,24,25,126,49,214,-,はやしざき,じんすけ,1542年,1557年,1621年,80,-,領地保全,奥義一閃,野襲,全軍突撃,才覚,6,-
愛洲,宗通,56,71,28,25,23,127,48,203,愛洲移香斎,あいす,むねみち,1519年,1534年,1590年,72,-,家名存続,奥義一閃,野襲,全軍突撃,芸道,9,-
益子,勝清,54,58,49,56,52,112,108,269,-,ましこ,かつきよ,1504年,1519年,1554年,51,-,所領拡大,足止め,回避,神出鬼没,勲功,8,-
多功,長朝,67,55,65,56,60,122,116,303,-,たこう,ながとも,1485年,1500年,1558年,74,-,所領拡大,用心,斥候,神出鬼没,勲功,6,-
佐野,豊綱,54,52,54,64,60,106,124,284,佐野泰綱,さの,とよつな,1504年,1519年,1559年,56,-,領地保全,臨戦,万全,囮挑発,勲功,7,-
真里谷,信応,53,61,55,49,50,114,99,268,真里谷恕鑑,まりやつ,のぶまさ,1515年,1530年,1552年,38,-,家名存続,突撃,速攻,全軍突撃,家名,10,-
成田,長親,54,36,49,50,47,90,97,236,成田泰季,なりた,ながちか,1545年,1560年,1613年,69,-,所領拡大,臥薪嘗胆,伏兵,神出鬼没,家名,6,-
成田,甲斐,73,82,70,56,54,155,110,335,成田氏長,なりた,かい,1572年,1583年,1632年,61,-,領地保全,衆寡奮迅,疾走,神出鬼没,勲功,6,-
藤田,康邦,52,42,58,53,55,94,108,260,-,ふじた,やすくに,1515年,1530年,1555年,41,-,領地保全,足止め,回避,神出鬼没,家名,9,-
大石,定久,43,51,55,56,55,94,111,260,-,おおいし,さだひさ,1500年,1515年,1561年,62,-,家名存続,気勢崩し,堅固,囮挑発,実利,7,-
富永,直勝,59,77,54,38,42,136,80,270,-,とみなが,なおかつ,1509年,1524年,1564年,56,-,所領拡大,最大戦速,水戦,川舟移動,実利,5,-
多目,元忠,83,70,82,61,72,153,133,368,-,ため,もとただ,1519年,1534年,1590年,72,-,天下統一,策士,強撃,神出鬼没,家名,5,-
伊東,一刀斎,65,79,62,25,27,144,52,258,-,いとう,いっとうさい,1560年,1575年,1632年,73,-,領地保全,奥義一閃,野襲,全軍突撃,芸道,8,-
岡部,親綱,53,73,62,53,57,126,110,298,-,おかべ,ちかつな,1498年,1513年,1562年,65,-,家名存続,突撃,速攻,全軍突撃,才覚,6,-
伊丹,康直,53,60,59,45,50,113,95,267,-,いたみ,やすなお,1523年,1538年,1596年,74,-,所領拡大,最大戦速,水戦,川舟移動,実利,9,-
井伊,直盛,53,60,65,43,52,113,95,273,-,いい,なおもり,1506年,1521年,1560年,55,-,領地保全,突撃,速攻,全軍突撃,家名,6,-
井伊,直虎,75,72,78,72,80,147,152,377,井伊直盛,いい,なおとら,1540年,1555年,1582年,43,-,井の国,采配,治癒,囮挑発,勲功,7,-
長坂,信政,61,81,55,25,32,142,57,254,-,ながさか,のぶまさ,1519年,1534年,1572年,54,-,家名存続,奮闘,猛攻,全軍突撃,仁義,5,-
大久保,忠俊,46,48,57,63,61,94,124,275,大久保忠茂,おおくぼ,ただとし,1499年,1514年,1581年,83,-,所領拡大,気勢崩し,堅固,囮挑発,勲功,6,-
大久保,忠員,64,55,60,45,51,119,96,275,大久保忠茂,おおくぼ,ただかず,1511年,1526年,1583年,73,-,領地保全,用心,斥候,神出鬼没,勲功,5,-
本多,小松,74,79,71,78,56,153,134,358,本多忠勝,ほんだ,こまつ,1573年,1584年,1620年,48,-,領地保全,奮闘,治癒,囮挑発,家名,6,-
織田,信友,67,50,52,55,53,117,108,277,-,おだ,のぶとも,1516年,1532年,1555年,40,-,家名存続,用心,斥候,神出鬼没,家名,8,-
織田,信清,45,55,59,69,65,100,134,293,-,おだ,のぶきよ,1537年,1551年,1594年,58,-,所領拡大,気勢崩し,堅固,囮挑発,家名,8,-
平手,政秀,54,47,66,78,89,101,167,334,-,ひらて,まさひで,1492年,1507年,1553年,62,-,家名存続,太鼓持ち,回避,囮挑発,家名,2,-
佐久間,盛重,62,74,62,40,48,136,88,286,-,さくま,もりしげ,1519年,1534年,1560年,42,-,領地保全,突撃,速攻,全軍突撃,家名,4,-
堀,直政,74,70,77,84,78,144,162,383,-,ほり,なおまさ,1547年,1561年,1608年,62,-,家名存続,策士,強撃,神出鬼没,野心,6,-
飯尾,定宗,51,73,59,46,51,124,97,280,-,いのお,さだむね,1512年,1527年,1560年,49,-,所領拡大,用心,斥候,神出鬼没,実利,4,-
岡本,良勝,48,57,48,54,49,105,103,256,-,おかもと,よしかつ,1544年,1559年,1600年,57,-,家名存続,突撃,速攻,全軍突撃,才覚,7,-
山路,正国,44,64,37,50,40,108,90,235,-,やまじ,まさくに,1546年,1561年,1583年,38,-,領地保全,突撃,速攻,全軍突撃,実利,11,-
拝郷,家嘉,48,71,55,43,46,119,89,263,-,はいごう,いえよし,1549年,1564年,1583年,35,-,家名存続,急襲,猛攻,全軍突撃,勲功,5,-
土岐,頼芸,43,30,68,61,66,73,127,268,土岐政房,とき,よりのり,1502年,1517年,1582年,81,-,所領拡大,足止め,回避,神出鬼没,芸道,4,-
遠山,友忠,55,58,55,61,58,113,119,287,遠山友勝,とおやま,ともただ,1531年,1546年,1605年,75,-,家名存続,急襲,復帰,囮挑発,実利,8,-
雲林院,祐基,46,42,36,44,36,88,80,204,長野稙藤,うじい,すけもと,1528年,1543年,1587年,60,-,領地保全,用心,斥候,神出鬼没,勲功,7,-
小山田,信有,62,73,72,60,67,135,127,334,-,おやまだ,のぶあり,1519年,1534年,1552年,34,-,家名存続,急襲,復帰,囮挑発,家名,6,-
河原,綱家,60,59,73,75,75,119,150,342,-,かわはら,つないえ,1556年,1571年,1634年,79,-,所領拡大,逆撫で,地利,囮挑発,家名,6,-
出浦,盛清,67,78,79,53,67,145,120,344,-,いでうら,もりきよ,1546年,1561年,1623年,78,-,所領拡大,忍法雲隠,伏兵,神出鬼没,実利,8,-
清野,清秀,53,44,67,59,64,97,123,287,-,きよの,きよひで,1493年,1508年,1560年,68,-,領地保全,足止め,回避,神出鬼没,家名,5,-
楽巌寺,雅方,69,71,40,45,39,140,84,264,-,らくがんじ,まさかた,1509年,1524年,1558年,50,-,家名存続,突撃,速攻,全軍突撃,勲功,9,-
小笠原,長時,69,73,31,45,32,142,77,250,小笠原長棟,おがさわら,ながとき,1514年,1534年,1583年,70,-,所領拡大,突撃,速攻,全軍突撃,家名,9,-
小笠原,貞種,50,62,40,39,36,112,75,227,小笠原長棟,おがさわら,さだたね,1523年,1538年,1587年,65,-,家督継承,急襲,復帰,囮挑発,家名,9,-
二木,重高,53,49,55,60,57,102,117,274,-,ふたつぎ,しげたか,1511年,1526年,1560年,50,-,領地保全,臨戦,万全,囮挑発,実利,8,-
高遠,頼継,57,47,63,38,48,104,86,253,-,たかとお,よりつぐ,1503年,1518年,1552年,50,-,家名存続,足止め,回避,神出鬼没,家名,8,-
三木,直頼,65,58,63,72,69,123,141,327,-,みつき,なおより,1497年,1512年,1554年,58,-,所領拡大,逆撫で,地利,囮挑発,勲功,11,-
黒川,清実,71,60,71,62,68,131,130,332,-,くろかわ,きよざね,1510年,1525年,1559年,50,-,所領拡大,挟撃巧者,疾走,神出鬼没,才覚,9,-
長尾,晴景,35,26,61,67,65,61,132,254,長尾為景,ながお,はるかげ,1509年,1524年,1553年,45,-,家名存続,気勢崩し,堅固,囮挑発,家名,4,-
長尾,房長,37,60,75,71,74,97,145,317,-,ながお,ふさなが,1503年,1518年,1552年,50,-,家名存続,足止め,回避,神出鬼没,家名,5,-
樋口,兼豊,70,63,75,77,78,133,155,363,-,ひぐち,かねとよ,1539年,1554年,1602年,64,-,所領拡大,激励,堅固,囮挑発,家名,5,-
甘粕,景持,80,83,80,58,64,163,122,365,-,あまかす,かげもち,1535年,1550年,1604年,70,-,所領拡大,越後二天,強撃,全軍突撃,家名,6,-
傑山,雲勝,68,25,65,64,72,93,136,294,-,けつざん,うんしょう,1540年,1555年,1614年,75,-,領地保全,策士,強撃,神出鬼没,才覚,5,-
神保,覚広,53,45,61,62,63,98,125,284,-,じんぼう,ただひろ,1523年,1538年,1577年,55,-,家名存続,気勢崩し,堅固,囮挑発,実利,6,-
温井,続宗,48,40,60,57,59,88,116,264,温井総貞,ぬくい,つぐむね,1513年,1528年,1560年,48,-,所領拡大,足止め,回避,神出鬼没,家名,8,-
小間,常光,37,49,56,57,56,86,113,255,-,こま,つねみつ,1514年,1529年,1573年,60,-,家名存続,足止め,回避,神出鬼没,家名,7,-
椎名,康胤,45,54,40,48,42,99,90,229,-,しいな,やすたね,1499年,1514年,1576年,78,-,領地保全,突撃,速攻,全軍突撃,家名,9,-
富樫,晴貞,52,58,47,57,51,110,108,265,-,とがし,はるさだ,1516年,1531年,1570年,55,-,家名存続,突撃,速攻,全軍突撃,家名,6,-
山崎,吉家,52,45,72,71,73,97,144,313,-,やまざき,よしいえ,1516年,1531年,1573年,58,-,所領拡大,策士,強撃,神出鬼没,勲功,4,-
堀江,景忠,64,50,60,59,61,114,120,294,-,ほりえ,かげただ,1527年,1542年,1576年,50,-,所領拡大,用心,斥候,神出鬼没,才覚,9,-
武田,元光,58,46,63,71,69,104,140,307,-,たけだ,もとみつ,1494年,1509年,1551年,58,-,領地保全,急襲,復帰,囮挑発,家名,7,-
武田,信豊,56,61,38,46,39,117,85,240,武田元光,たけだ,のぶとよ,1514年,1529年,1566年,53,-,家名存続,臨戦,万全,囮挑発,家名,8,-
武田,元明,45,33,49,54,50,78,104,231,武田義統,たけだ,もとあき,1552年,1567年,1582年,31,-,所領拡大,臨戦,万全,囮挑発,家名,6,-
粟屋,勝久,63,62,67,48,57,125,105,297,-,あわや,かつひさ,1523年,1538年,1585年,63,-,領地保全,突撃,速攻,全軍突撃,勲功,4,-
粟屋,光若,54,64,58,57,57,118,114,290,-,あわや,みつわか,1516年,1531年,1575年,60,-,領地保全,急襲,復帰,囮挑発,勲功,5,-
湯浅,隆貞,37,74,43,64,52,111,116,270,-,ゆあさ,たかさだ,1560年,1575年,1600年,41,-,家名存続,突撃,速攻,全軍突撃,家名,4,-
浅井,亮親,71,68,76,64,72,139,136,351,-,あざい,すけちか,1519年,1534年,1573年,55,-,所領拡大,逆撫で,地利,囮挑発,家名,5,-
堀,秀村,69,56,67,64,67,125,131,323,-,ほり,ひでむら,1557年,1572年,1599年,43,-,所領拡大,用心,斥候,神出鬼没,勲功,6,-
雨森,弥兵衛,64,55,69,74,73,119,147,335,-,あめのもり,やへえ,1514年,1529年,1573年,60,-,領地保全,逆撫で,地利,囮挑発,家名,6,-
安養寺,氏種,45,34,71,75,75,79,150,300,-,あんようじ,うじたね,1536年,1551年,1606年,71,-,家名存続,気勢崩し,堅固,囮挑発,才覚,4,-
多賀,貞能,43,49,55,56,55,92,111,258,-,たが,さだよし,1515年,1530年,1587年,73,-,所領拡大,気勢崩し,堅固,囮挑発,勲功,8,-
六角,定頼,83,60,77,95,93,143,188,408,-,ろっかく,さだより,1495年,1510年,1552年,58,-,天下統一,太鼓持ち,名将,囮挑発,勲功,8,-
武田,義統,62,59,49,44,43,121,87,257,武田信豊,たけだ,よしずみ,1526年,1541年,1567年,42,-,領地保全,用心,斥候,神出鬼没,家名,5,-
赤井,時家,63,63,64,51,57,126,108,298,-,あかい,ときいえ,1494年,1509年,1581年,88,-,家名存続,突撃,速攻,全軍突撃,実利,6,-
内藤,国貞,55,42,52,42,44,97,86,235,-,ないとう,くにさだ,1494年,1509年,1553年,60,-,所領拡大,用心,斥候,神出鬼没,家名,11,-
柳沢,元政,53,56,72,75,84,109,159,340,-,やなぎさわ,もとまさ,1536年,1551年,1613年,78,-,家名存続,太鼓持ち,万全,囮挑発,勲功,7,-
楠木,正虎,33,29,55,83,69,62,152,269,-,くすのき,まさとら,1520年,1535年,1596年,77,-,領地保全,気勢崩し,堅固,囮挑発,家名,10,-
本願寺,証如,68,26,70,85,87,94,172,336,-,ほんがんじ,しょうにょ,1516年,1525年,1554年,39,-,往生極楽,死兵,万全,囮挑発,才覚,4,-
三淵,晴員,51,38,73,65,71,89,136,298,細川元有,みつぶち,はるかず,1500年,1515年,1570年,71,-,所領拡大,足止め,回避,神出鬼没,家名,7,-
細川,藤賢,44,38,68,63,67,82,130,280,細川尹賢,ほそかわ,ふじかた,1517年,1532年,1590年,74,-,所領拡大,気勢崩し,堅固,囮挑発,家名,8,-
細川,元常,58,51,59,72,67,109,139,307,細川元有,ほそかわ,もとつね,1482年,1497年,1554年,73,-,領地保全,用心,斥候,神出鬼没,家名,5,-
細川,持隆,53,48,57,72,66,101,138,296,-,ほそかわ,もちたか,1497年,1512年,1553年,57,-,家名存続,臨戦,万全,囮挑発,家名,7,-
細川,氏綱,54,39,62,52,57,93,109,264,細川尹賢,ほそかわ,うじつな,1514年,1531年,1563年,50,-,所領拡大,足止め,回避,神出鬼没,家名,4,-
香川,元景,53,56,65,61,64,109,125,299,-,かがわ,もとかげ,1498年,1513年,1552年,55,-,領地保全,激励,堅固,囮挑発,才覚,8,-
香西,元成,52,50,45,48,44,102,92,239,香西元定,こうざい,もとなり,1518年,1533年,1560年,43,-,領地保全,用心,斥候,神出鬼没,才覚,2,-
十河,存春,61,63,51,67,59,124,126,301,-,そごう,まさはる,1510年,1525年,1559年,50,-,家名存続,突撃,速攻,全軍突撃,勲功,3,-
三好,政長,45,41,57,55,56,86,111,254,-,みよし,まさなが,1508年,1523年,1549年,42,-,所領拡大,足止め,回避,神出鬼没,実利,9,-
畠山,高政,35,40,51,28,34,75,62,188,畠山政国,はたけやま,たかまさ,1527年,1542年,1576年,50,-,所領拡大,臨戦,万全,囮挑発,家名,6,-
畠山,昭高,52,57,54,66,60,109,126,289,畠山政国,はたけやま,あきたか,1545年,1560年,1573年,29,-,所領拡大,急襲,復帰,囮挑発,家名,6,-
柳生,家厳,66,74,41,56,46,140,102,283,-,やぎゅう,いえよし,1497年,1512年,1585年,89,-,家名存続,急襲,猛攻,全軍突撃,芸道,7,-
筒井,順政,55,29,59,69,65,84,134,277,筒井順興,つつい,じゅんせい,1524年,1539年,1564年,41,-,所領拡大,太鼓持ち,万全,囮挑発,家名,6,-
越智,家増,53,70,38,35,31,123,66,227,-,おち,いえます,1519年,1534年,1577年,59,-,領地保全,突撃,速攻,全軍突撃,勲功,7,-
十市,遠勝,51,61,59,39,46,112,85,256,十市遠忠,とおち,とおかつ,1530年,1545年,1569年,40,-,領地保全,突撃,速攻,全軍突撃,家名,7,-
果心,居士,29,26,90,32,61,55,93,238,-,かしん,こじ,1524年,1539年,1619年,96,-,家名存続,忍法雲隠,伏兵,神出鬼没,芸道,8,-
湯川,直光,36,54,46,50,45,90,95,231,-,ゆかわ,なおみつ,1516年,1528年,1562年,47,-,所領拡大,突撃,速攻,全軍突撃,家名,5,-
土橋,重治,56,52,49,54,50,108,104,261,土橋重隆,つちばし,しげはる,1526年,1541年,1595年,70,-,領地保全,死兵,斥候,全軍突撃,家名,6,-
的場,昌長,53,77,68,37,50,130,87,285,-,まとば,まさなが,1550年,1565年,1599年,50,-,領地保全,死兵,斥候,全軍突撃,実利,7,-
佐武,義昌,73,63,73,60,67,136,127,336,-,さたけ,よしまさ,1538年,1551年,1620年,83,-,家名存続,挟撃巧者,疾走,神出鬼没,勲功,8,-
